id,link,text,topic,sentiment,created_at,retweet
1463509864978726914,https://twitter.com/twitter/statuses/1463509864978726914,"I got my free COVID-19 vaccine booster shot on Monday, my third Moderna shot. A sore shoulder muscle is my only negative side effect. Thanks Virginia Department of Health!",,,Wed Nov 24 14:08:37 +0000 2021,
1463371892878942212,https://twitter.com/twitter/statuses/1463371892878942212,"Between 8:30 am and 10:30 am, over 9,900 appointments were booked online for Pfizer-BioNTech's pediatric COVID-19 vaccine in Saskatchewan		The SHA has 40,000 appointment available and asks the public to try booking again if they couldn't get through earlier.		#covid19k #skpoli",,,Wed Nov 24 05:00:22 +0000 2021,https://twitter.com/twitter/statuses/1463371892878942212
1463483639434407945,https://twitter.com/twitter/statuses/1463483639434407945,Two out of three people with lupus (64%) are willing to take a COVID-19 vaccine if it is free and determined safe by scientists according to results of a survey conducted by the Lupus Research Alliance (LRA). https://t.co/mChb5xmiCv. 	@lupus_open,,,Wed Nov 24 12:24:24 +0000 2021,
1463462664898846722,https://twitter.com/twitter/statuses/1463462664898846722,telegraph: '💉 AstraZeneca vaccine may offer longer lasting immunity Follow the latest coronavirus news on our liveblog 👇 ' https://t.co/xQxkVipkIu,,,Wed Nov 24 11:01:03 +0000 2021,
1463350162282192896,https://twitter.com/twitter/statuses/1463350162282192896,tFDA just released the package insert prescribing information for the Pfizer-BioNTech mRNA “vaccine” COMIRNATY. The insert reveals in distressing detail that—as the ongoing clinical trial continues—there is no safety or efficacy data for individuals 16 years and younger,,,Wed Nov 24 03:34:01 +0000 2021,
1463398496459902979,https://twitter.com/twitter/statuses/1463398496459902979,The Australian Govt plans to roll out six-monthly boosters well into 2023.	https://t.co/aGSCIUkI0z,,,Wed Nov 24 06:46:04 +0000 2021,https://twitter.com/twitter/statuses/1463398496459902979
1463496538509000704,https://twitter.com/twitter/statuses/1463496538509000704,A user-centered approach to developing a new tool measuring the behavioural and social drivers of vaccination https://t.co/Jw219E5TAM		➡️ #HospitalsTalkToLovedOnes		---	Poll: Mandatory COVID-19 vaccinations: https://t.co/NHe6t70Rhg 	#MandatoryVaccination #COVID19vaccines #DHPSP https://t.co/jBFaNEG9nH,,,Wed Nov 24 13:15:39 +0000 2021,https://twitter.com/twitter/statuses/1463496538509000704
1463581190053576710,https://twitter.com/twitter/statuses/1463581190053576710,It’s actually quite amazing that it’s taken so long for the public to see Boris Johnson for who he is. He’s the emperor’s new clothes Prime Minister. He’s like a hollow Easter egg. Scratch the surface and there is absolutely no substance there.		https://t.co/T4X4zWyA5P,,,Wed Nov 24 18:52:02 +0000 2021,https://twitter.com/twitter/statuses/1463581190053576710
1463658127618887684,https://twitter.com/twitter/statuses/1463658127618887684,"There are multiple signals of a crisis in vaccine safety, centred around four covid vaccines that employ spike protein - Pfizer-BioNTech, Moderna, Astra Zeneca, Janssen. 		At what point does a vaccine get declared ""unsafe?""",,,Wed Nov 24 23:57:45 +0000 2021,https://twitter.com/twitter/statuses/1463658127618887684
1463360678853439488,https://twitter.com/twitter/statuses/1463360678853439488,"Pfizer-BioNTech on 22 November, said that their #COVID19 vaccine remained 100% effective in 12 to 15 year old children, four months after the second dose.	https://t.co/hg045tgP3a",,,Wed Nov 24 04:15:48 +0000 2021,https://twitter.com/twitter/statuses/1463360678853439488
1463352803196293129,https://twitter.com/twitter/statuses/1463352803196293129,"""A complete series of the Pfizer-BioNTech COVID-19 vaccine (10 mcg) may be offered to children 5-11 years of age who do not have contraindications to the vaccine, with a dosing interval of at least 8 weeks between the first and second dose""",,,Wed Nov 24 03:44:30 +0000 2021,https://twitter.com/twitter/statuses/1463352803196293129
1463480729090801666,https://twitter.com/twitter/statuses/1463480729090801666,"Conservative MP Craig Mackinlay says there is ""mix and muddle"" over vaccine passports and, after a Kent private school demanded pupils wear a yellow badge to show they are exempt from wearing a face mask, he says ""it's mad, just stop it!""		@JuliaHB1 | @cmackinlay https://t.co/403UL9drts",,,Wed Nov 24 12:12:50 +0000 2021,https://twitter.com/twitter/statuses/1463480729090801666
1463533147488981001,https://twitter.com/twitter/statuses/1463533147488981001,Absolutely massive queue for vaccines in Hamburg  https://t.co/CWstEaHdqn,,,Wed Nov 24 15:41:08 +0000 2021,https://twitter.com/twitter/statuses/1463533147488981001
1463471513164726273,https://twitter.com/twitter/statuses/1463471513164726273,"👩‍🎓🦠 UCD graduate who co-developed COVID-19 vaccine honoured at 2021 UCD Alumni Awards		👉 https://t.co/w0fcjCCtdf		👩‍🔬 Dr Teresa Lambe was the Principal Investigator at the @JennerInstitute, who oversaw development of Oxford-AstraZeneca vaccine https://t.co/plF9ZEzG3D",,,Wed Nov 24 11:36:13 +0000 2021,https://twitter.com/twitter/statuses/1463471513164726273
